	term	domain	category	sense	AR	DC	en	es	fr	id	vrefs
67	אֶבֶן בֹּהַן בֶּן־רְאוּבֵן	PN	locale		False	False	Stone of Bohan the son of Reuben	Eben-ézer	Bohân	Batu Bohan	['JOS 15:6', 'JOS 18:17']
68	אֶבֶן	PN	locale		False	False	Serpent’s Stone	torno	Rocher du Serpent	Batu Ular	['1KI 1:9']
69	אֶבֶן	PN	locale		False	False	Ebenezer	par de piedras	Evèn-Ezèr	Eben-Haezer	['1SA 4:1', '1SA 5:1', '1SA 7:12']
70	אָבְנַיִם	RE	tools	1	False	False	pottery wheel	Abner	tour de potier	pelarikan	['JER 18:3']
71	אָבְנַיִם	RE	tools; childbirth	2	False	False	birthstool	Ebes	tabourer pour l'accouchement	kursi kelahiran	['EXO 1:16']
72	אַבְנֵר	PN	person		False	False	Abner	Ibsán	Avner	Abner	['1SA 14:50', '1SA 14:51', '1SA 17:55', '1SA 17:55', '1SA 17:55', '1SA 17:57', '1SA 20:25', '1SA 26:5', '1SA 26:7', '1SA 26:14', '1SA 26:14', '1SA 26:14', '1SA 26:15', '2SA 2:8', '2SA 2:12', '2SA 2:14', '2SA 2:17', '2SA 2:19', '2SA 2:19', '2SA 2:20', '2SA 2:21', '2SA 2:22', '2SA 2:23', '2SA 2:24', '2SA 2:25', '2SA 2:26', '2SA 2:29', '2SA 2:30', '2SA 2:31', '2SA 3:6', '2SA 3:7', '2SA 3:8', '2SA 3:9', '2SA 3:11', '2SA 3:12', '2SA 3:16', '2SA 3:17', '2SA 3:19', '2SA 3:19', '2SA 3:20', '2SA 3:20', '2SA 3:21', '2SA 3:21', '2SA 3:22', '2SA 3:23', '2SA 3:24', '2SA 3:25', '2SA 3:26', '2SA 3:27', '2SA 3:28', '2SA 3:30', '2SA 3:31', '2SA 3:32', '2SA 3:32', '2SA 3:33', '2SA 3:33', '2SA 3:37', '2SA 4:1', '2SA 4:12', '1KI 2:5', '1KI 2:32', '1CH 26:28', '1CH 27:21']
73	אֶבֶץ	PN	settlement		False	False	Ebez	Abraham	Evèç	Ebes	['JOS 19:20']
74	אִבְצָן	PN	person		False	False	Ibzan	Abram	Ibçân	Ibzan	['JDG 12:8', 'JDG 12:10']
75	אַבְרָהָם	PN	person		False	False	Abraham	Absalón	Abraham	Abraham	['GEN 17:5', 'GEN 17:9', 'GEN 17:15', 'GEN 17:17', 'GEN 17:18', 'GEN 17:22', 'GEN 17:23', 'GEN 17:23', 'GEN 17:24', 'GEN 17:26', 'GEN 18:6', 'GEN 18:7', 'GEN 18:11', 'GEN 18:13', 'GEN 18:16', 'GEN 18:17', 'GEN 18:18', 'GEN 18:19', 'GEN 18:22', 'GEN 18:23', 'GEN 18:27', 'GEN 18:33', 'GEN 18:33', 'GEN 19:27', 'GEN 19:29', 'GEN 20:1', 'GEN 20:2', 'GEN 20:9', 'GEN 20:10', 'GEN 20:11', 'GEN 20:14', 'GEN 20:17', 'GEN 20:18', 'GEN 21:2', 'GEN 21:3', 'GEN 21:4', 'GEN 21:5', 'GEN 21:7', 'GEN 21:8', 'GEN 21:9', 'GEN 21:10', 'GEN 21:11', 'GEN 21:12', 'GEN 21:14', 'GEN 21:22', 'GEN 21:24', 'GEN 21:25', 'GEN 21:27', 'GEN 21:28', 'GEN 21:29', 'GEN 21:34', 'GEN 22:1', 'GEN 22:1', 'GEN 22:3', 'GEN 22:4', 'GEN 22:5', 'GEN 22:6', 'GEN 22:7', 'GEN 22:8', 'GEN 22:9', 'GEN 22:10', 'GEN 22:11', 'GEN 22:11', 'GEN 22:13', 'GEN 22:13', 'GEN 22:14', 'GEN 22:15', 'GEN 22:19', 'GEN 22:19', 'GEN 22:20', 'GEN 22:23', 'GEN 23:2', 'GEN 23:3', 'GEN 23:5', 'GEN 23:7', 'GEN 23:10', 'GEN 23:12', 'GEN 23:14', 'GEN 23:16', 'GEN 23:16', 'GEN 23:18', 'GEN 23:19', 'GEN 23:20', 'GEN 24:1', 'GEN 24:1', 'GEN 24:2', 'GEN 24:6', 'GEN 24:9', 'GEN 24:12', 'GEN 24:12', 'GEN 24:15', 'GEN 24:27', 'GEN 24:34', 'GEN 24:42', 'GEN 24:48', 'GEN 24:52', 'GEN 24:59', 'GEN 25:1', 'GEN 25:5', 'GEN 25:6', 'GEN 25:6', 'GEN 25:7', 'GEN 25:8', 'GEN 25:10', 'GEN 25:10', 'GEN 25:11', 'GEN 25:12', 'GEN 25:12', 'GEN 25:19', 'GEN 25:19', 'GEN 26:1', 'GEN 26:3', 'GEN 26:5', 'GEN 26:15', 'GEN 26:18', 'GEN 26:18', 'GEN 26:24', 'GEN 26:24', 'GEN 28:4', 'GEN 28:4', 'GEN 28:9', 'GEN 28:13', 'GEN 31:42', 'GEN 31:53', 'GEN 32:11', 'GEN 35:12', 'GEN 35:27', 'GEN 48:15', 'GEN 48:16', 'GEN 49:30', 'GEN 49:31', 'GEN 50:13', 'GEN 50:24', 'EXO 2:24', 'EXO 3:6', 'EXO 3:15', 'EXO 3:16', 'EXO 4:5', 'EXO 6:3', 'EXO 6:8', 'EXO 32:13', 'EXO 33:1', 'LEV 26:42', 'NUM 32:11', 'DEU 1:8', 'DEU 6:10', 'DEU 9:5', 'DEU 9:27', 'DEU 29:11', 'DEU 30:20', 'DEU 34:4', 'JOS 24:2', 'JOS 24:3', '1KI 18:36', '2KI 13:23', '1CH 1:27', '1CH 1:28', '1CH 1:32', '1CH 1:34', '1CH 16:16', '1CH 29:18', '2CH 20:7', '2CH 30:6', 'NEH 9:7', 'PSA 47:10', 'PSA 105:6', 'PSA 105:9', 'PSA 105:42', 'ISA 29:22', 'ISA 41:8', 'ISA 51:2', 'ISA 63:16', 'JER 33:26', 'EZK 33:24', 'MIC 7:20']
76	אַבְרָם	PN	person		False	False	Abram	Absalón	Abram	Abram	['GEN 11:26', 'GEN 11:27', 'GEN 11:29', 'GEN 11:29', 'GEN 11:31', 'GEN 11:31', 'GEN 12:1', 'GEN 12:4', 'GEN 12:4', 'GEN 12:5', 'GEN 12:6', 'GEN 12:7', 'GEN 12:9', 'GEN 12:10', 'GEN 12:14', 'GEN 12:16', 'GEN 12:17', 'GEN 12:18', 'GEN 13:1', 'GEN 13:2', 'GEN 13:4', 'GEN 13:5', 'GEN 13:7', 'GEN 13:8', 'GEN 13:12', 'GEN 13:14', 'GEN 13:18', 'GEN 14:12', 'GEN 14:13', 'GEN 14:13', 'GEN 14:14', 'GEN 14:19', 'GEN 14:21', 'GEN 14:22', 'GEN 14:23', 'GEN 15:1', 'GEN 15:1', 'GEN 15:2', 'GEN 15:3', 'GEN 15:11', 'GEN 15:12', 'GEN 15:13', 'GEN 15:18', 'GEN 16:1', 'GEN 16:2', 'GEN 16:2', 'GEN 16:3', 'GEN 16:3', 'GEN 16:3', 'GEN 16:5', 'GEN 16:6', 'GEN 16:15', 'GEN 16:15', 'GEN 16:16', 'GEN 16:16', 'GEN 17:1', 'GEN 17:1', 'GEN 17:3', 'GEN 17:5', '1CH 1:27', 'NEH 9:7']
